Manufacturer_Name,Approved_MFG_Location,Location Status,Usage Status,Quality Agreement,Current Audit Document,Approval Document/Reference#,Quality Due Date,Function,Quality Risk,Description of Goods/Services,Material Group,Amgen site,Supplier ID,Billing Vendor ID,Managed by,Subcategory,Billing Vendor Name,Billing Vendor Address,Last Changed By,Created on,Description
IRON MOUNTAIN FRANCE SAS,"MORANGIS, FR",APPROVED,Acceptable,QAGR-401081,"REC-576749,577010",REC-577710,6/9/2023,GENERAL,Low,"IRON MOUNTAIN, THROUGH ITS DIVISIONS AND AFFILIATES, PROVIDES VARIOUS RECORDS AND INFORMATION MANAGEMENT SERVICES, INCLUDING THE STORAGE OF RECORDS, PAPER (HARD-COPY), STORAGE OF MEDIA, DOCUMENT SHREDDING SERVIC...[SEE REC-577710 FOR COMPLETE DESCRIPTION]",RECDIM,GLOBAL,100000265,100000265,CORPORATE QUALITY ASSURANCE,ARCHIVING,IRON MOUNTAIN FRANCE SAS,"MORANGIS, FR",NMARINOS,07/15/2021,Rec Inf Mgmt
ALLOGA AG,"BURGDORF, CH",APPROVED,Acceptable,QAGR-402239,AMS-51933,REC-536621,4/6/2023,INTERNATIONAL LOGISTIC SERVICE PROVIDER,High,WAREHOUSING AND DISTRIBUTION SERVICES INCLUDING LOGISITICS SERVICE PROVIDERS,WAREH,GLOBAL,100000739,100000739,EU DISTRIBUTION & INNOVATION,WAREHOUSING AND DISTRIBUTION SERVICES INCLUDING LOGISITICS SERVICE PROVIDERS,ALLOGA AG,"BURGDORF, CH",GTORRE05,12/19/2015,Warehousing
IRON MOUNTAIN BV,"ROTTERDAM, NL",APPROVED,Acceptable,QAGR-401081,"REC-576749,577010",REC-577710,6/9/2023,GENERAL,Low,"IRON MOUNTAIN, THROUGH ITS DIVISIONS AND AFFILIATES, PROVIDES VARIOUS RECORDS AND INFORMATION MANAGEMENT SERVICES, INCLUDING THE STORAGE OF RECORDS, PAPER (HARD-COPY), STORAGE OF MEDIA, DOCUMENT SHREDDING SERVIC...[SEE REC-577710 FOR COMPLETE DESCRIPTION]",RECDIM,GLOBAL,100000778,100000778,CORPORATE QUALITY ASSURANCE,ARCHIVING,IRON MOUNTAIN BV,"ROTTERDAM, NL",NMARINOS,12/19/2015,Rec Inf Mgmt
DOMINO AMJET B V,"HOUTEN, NL",APPROVED,Acceptable,QAGR-402034,N/A PER SOP-427473,REC-560004,07/31/2023,F&E MAINTENANCE,Low,LASER SYSTEM MAINTENANCE PACKAGING EQUIPMENT,MAINT,GLOBAL,100000927,100000927,"MALDONADO, DAISEY",GENERAL EQUIPMENT SERVICES,DOMINO AMJET B V,"HOUTEN, NL",NMARINOS,12/19/2015,Maintenance Srv
SIEMENS NEDERLAND N.V.,"DEN HAAG, NL",APPROVED,Acceptable,N/A PER SOP-416524,N/A PER SOP-416524,REC-557433,08/31/2022,COMPUTERIZED SYSTEM,Medium,SOFTWARE FOR GMP COMPUTERIZED SYSTEMS,ISSM,NETB,100000991,100000991,ASN0920783,SOFTWARE MAINTENANCE - ON TANGIBLE MEDIA,SIEMENS NEDERLAND N.V.,"DEN HAAG, NL",NMARINOS,4/12/2019,IS Software Maint
SIEMENS NEDERLAND N.V.,"DEN HAAG, NL",APPROVED,Acceptable,N/A PER SOP-416524,N/A PER SOP-416524,REC-557433,08/31/2022,COMPUTERIZED SYSTEM,Medium,SOFTWARE FOR GMP COMPUTERIZED SYSTEMS,ISSME,NETB,100000991,100000991,ASN0920783,"IS - SOFTWARE MAINTENANCE, ELECTRONIC - GMP",SIEMENS NEDERLAND N.V.,"DEN HAAG, NL",NMARINOS,4/12/2019,IS Sftwre Maint-Elec
SIEMENS NEDERLAND N.V.,"DEN HAAG, NL",APPROVED,Acceptable,N/A PER SOP-416524,N/A PER SOP-416524,REC-557433,08/31/2022,COMPUTERIZED SYSTEM,Medium,SOFTWARE FOR GMP COMPUTERIZED SYSTEMS,ISSLND,NETB,100000991,100000991,ASN0920783,SOFTWARE LICENSE DOWNLOAD VIA PHYSICAL MEDIA,SIEMENS NEDERLAND N.V.,"DEN HAAG, NL",NMARINOS,4/12/2019,IS SW Lic no Dwnload
SIEMENS NEDERLAND N.V.,"DEN HAAG, NL",APPROVED,Acceptable,N/A PER SOP-416524,N/A PER SOP-416524,REC-557433,08/31/2022,COMPUTERIZED SYSTEM,Medium,SOFTWARE FOR GMP COMPUTERIZED SYSTEMS,ISSLDL,NETB,100000991,100000991,ASN0920783,SOFTWARE LICENSE DOWNLOAD VIA ELECTRONIC DOWNLOAD,SIEMENS NEDERLAND N.V.,"DEN HAAG, NL",NMARINOS,4/12/2019,IS SW Lic Download
VANDERLANDE INDUSTRIES BV,"VEGHEL, NL",APPROVED,Acceptable,N/A PER SOP-416524,N/A PER SOP-416524,REC-576122,08/31/2022,COMPUTERIZED SYSTEM,Medium,SOFTWARE FOR GMP COMPUTERIZED SYSTEMS,ISSLND,NETB,100002271,100002271,ASN0200449,SOFTWARE LICENSE DOWNLOAD VIA PHYSICAL MEDIA,VANDERLANDE INDUSTRIES BV,"VEGHEL, NL",NMARINOS,02/15/2021,IS SW Lic no Dwnload
VANDERLANDE INDUSTRIES BV,"VEGHEL, NL",APPROVED,Acceptable,QAGR-402351,N/A PER SOP-430398,REC-634974,01/21/2025,F&E MAINTENANCE,Low,"MAINTENANCE SERVICES (SYSTEM INSPECTIONS, PREVENTIVE & CORRECTIVE MAINTENANCE, PROCESS ANALYSES AND GENERAL SUPPORT) ON MFC (MATERIAL FLOW CONTROLLER) – HIGH LEVEL CONTROLS.",MAINT,NETB,100002271,100002271,SOFIE LEVECQUE,GENERAL & MISC MAINTENANCE SERVICES,VANDERLANDE INDUSTRIES BV,"VEGHEL, NL",GTORRE05,01/27/2022,Maintenance Srv
VANDERLANDE INDUSTRIES BV,"VEGHEL, NL",APPROVED,Acceptable,N/A PER SOP-416524,N/A PER SOP-416524,REC-576122,08/31/2022,COMPUTERIZED SYSTEM,Medium,SOFTWARE FOR GMP COMPUTERIZED SYSTEMS,ISSME,NETB,100002271,100002271,"ASN0200449 / RAUWERDA, FRISO","IS - SOFTWARE MAINTENANCE, ELECTRONIC - GMP",VANDERLANDE INDUSTRIES BV,"VEGHEL, NL",NMARINOS,02/15/2021,IS Sftwre Maint-Elec
