Product,Product Description,Material Group (for the Product),Material Type (for the Product),IM Material Number,Material Type For IM Material,Material Sub group,IM Material Description,IM Spec Number,ZHE1 Material Number,ZHE1 Material Description,Mfr Part Number,X-Plant Matl Status of ZHE1 Matl,Manufacturer,Manufacturer_Name,Mfr Block Function,Approved_MFG_Location,Source Location,ADM Country,ADM Animal,ADM Tissue
1345,049 FBP 0mg/mL Plcb ATO,49,ZHA3,2220,ZRO1,FLTR,FLTR Pall Acro 50 PTR Capsure 0.2 micron,RMS-000991,11001594,FLTR Pall Acro 50 PTR Capsure 0.2 micron,4251,Z0,100048043,PALL CORP,Z3,,,CA,BOV,TLW
1345,049 FBP 0mg/mL Plcb ATO,49,ZHA3,2220,ZRO1,FLTR,FLTR Pall Acro 50 PTR Capsure 0.2 micron,RMS-000991,11001594,FLTR Pall Acro 50 PTR Capsure 0.2 micron,4251,Z0,100048043,PALL CORP,Z3,,,US,BOV,TLW
1345,049 FBP 0mg/mL Plcb ATO,49,ZHA3,2220,ZRO1,FLTR,FLTR Pall Acro 50 PTR Capsure 0.2 micron,RMS-000991,11012298,FLTR Pall Acro 50 PTR Capsure 0.2 micron,6074270L,Z2,100048043,PALL CORP,Z3,,,,,
1345,049 FBP 0mg/mL Plcb ATO,49,ZHA3,2221,ZRO1,FLTR,FLTR Millipore Pvdf 0.22 Micron 2221,RMS-000363,11001595,FLTR Millipore Pvdf 0.22 Micron 2221,MPGL02GH2,Z0,100046380,EMD MILLIPORE CORP,Z3,,,NA,BOV,TLW
1345,049 FBP 0mg/mL Plcb ATO,49,ZHA3,2221,ZRO1,FLTR,FLTR Millipore Pvdf 0.22 Micron 2221,RMS-000363,11001595,FLTR Millipore Pvdf 0.22 Micron 2221,MPGL02GH2,Z0,100046380,EMD MILLIPORE CORP,Z3,,,NL,BOV,TLW
1345,049 FBP 0mg/mL Plcb ATO,49,ZHA3,2223,ZRO1,FLTR,FLTR Durapore Pvdf 0.22 Micron,RMS-000364,11001596,FLTR Durapore Pvdf 0.22 Micron,MPGL1GCA3,Z0,100046380,EMD MILLIPORE CORP,Z3,,,NL,BOV,TLW
1345,049 FBP 0mg/mL Plcb ATO,49,ZHA3,2223,ZRO1,FLTR,FLTR Durapore Pvdf 0.22 Micron,RMS-000364,11013099,FLTR Durapore Pvdf 0.22 Micron,MPGL1GCA3,Z8,100046380,EMD MILLIPORE CORP,Z3,,,,,
1345,049 FBP 0mg/mL Plcb ATO,49,ZHA3,2224,ZRO1,FLTR,FLTR Millipak 200 Pvdf 0.22 Micron,RMS-000365,11001597,FLTR Millipak 200 Pvdf 0.22 Micron,MPGL2GCA3,Z0,100046380,EMD MILLIPORE CORP,Z3,,,NL,BOV,TLW
1345,049 FBP 0mg/mL Plcb ATO,49,ZHA3,2224,ZRO1,FLTR,FLTR Millipak 200 Pvdf 0.22 Micron,RMS-000365,11008664,FLTR Millipak 200 Pvdf 0.22 Micron,MPGL2GCA3,Z8,100046380,EMD MILLIPORE CORP,Z3,,,,,
1345,049 FBP 0mg/mL Plcb ATO,49,ZHA3,2224,ZRO1,FLTR,FLTR Millipak 200 Pvdf 0.22 Micron,RMS-000365,11012908,FLTR Millipak 200 Pvdf 0.22 Micron,MPGL2GCA3,Z8,100046380,EMD MILLIPORE CORP,Z3,,,,,
1345,049 FBP 0mg/mL Plcb ATO,49,ZHA3,2364,ZRO1,TUBNG,"TUBNG Silicone 1/4"" X 1/2""",RMS-000440,11001681,"TUBNG Silicone 1/4"" X 1/2""",60-825-139 OR 60-564-139,Z0,100065637,FREUDENBERG MEDICAL LLC,Z3,,,,,
1345,049 FBP 0mg/mL Plcb ATO,49,ZHA3,2364,ZRO1,TUBNG,"TUBNG Silicone 1/4"" X 1/2""",RMS-000440,11001682,"TUBNG Silicone 1/4"" X 1/2""",FB1344,Z3,100065700,SAINT GOBAIN PERFORMANCE PLASTICS,Z3,,,,,
1345,049 FBP 0mg/mL Plcb ATO,49,ZHA3,2364,ZRO1,TUBNG,"TUBNG Silicone 1/4"" X 1/2""",RMS-000440,11011408,"TUBNG Silicone 1/4"" X 1/2""",61-747-139,Z0,100065637,FREUDENBERG MEDICAL LLC,Z3,,,,,
1345,049 FBP 0mg/mL Plcb ATO,49,ZHA3,2364,ZRO1,TUBNG,"TUBNG Silicone 1/4"" X 1/2""",RMS-000440,11012615,"TUBNG Silicone 1/4"" X 1/2""",61-747-139,Z0,100051266,AVANTOR FLUID HANDLING LLC,Z3,,,,,
1345,049 FBP 0mg/mL Plcb ATO,49,ZHA3,2396,ZRO1,FLTR,FLTR Durapore Pvdf 0.22 Micron Disp PC,RMS-000459,11001701,FLTR Durapore Pvdf 0.22 Micron Disp PC,MPGL06GH2,Z0,100046380,EMD MILLIPORE CORP,Z3,,,NA,BOV,TLW
1345,049 FBP 0mg/mL Plcb ATO,49,ZHA3,2396,ZRO1,FLTR,FLTR Durapore Pvdf 0.22 Micron Disp PC,RMS-000459,11001701,FLTR Durapore Pvdf 0.22 Micron Disp PC,MPGL06GH2,Z0,100046380,EMD MILLIPORE CORP,Z3,,,ND,BOV,TLW
1345,049 FBP 0mg/mL Plcb ATO,49,ZHA3,2396,ZRO1,FLTR,FLTR Durapore Pvdf 0.22 Micron Disp PC,RMS-000459,11002930,FLTR Durapore Pvdf 0.22 Micron Disp PC,MCGL40S03,Z8,100046380,EMD MILLIPORE CORP,Z3,,,,,
1345,049 FBP 0mg/mL Plcb ATO,49,ZHA3,2396,ZRO1,FLTR,FLTR Durapore Pvdf 0.22 Micron Disp PC,RMS-000459,11012907,FLTR Durapore Pvdf 0.22 Micron Disp PC,MPGL06GH2,Z8,100046380,EMD MILLIPORE CORP,Z3,,,,,
1345,049 FBP 0mg/mL Plcb ATO,49,ZHA3,3002081,ZRO1,FLTR,"FLTR Millipore Opticap XL 10"" 0.22 UM",RMS-002072,11005751,"FLTR Millipore Opticap XL 10"" 0.22 UM",KVGLA10TT1,Z0,100046380,EMD MILLIPORE CORP,Z3,,,CA,BOV,TLW
